,"Initial Coding Methodology, Before Any Reading",,,,,,,,,,,,,,,,,,,,,Post-reading coding,Post-reading coding,,,,,,,RR coding,
2019,ICAC_Zhao,Can the minimum cost of routes be calculated in a way that generalises across car models and makes?,Real-world experiment,Real-world experiment,Car route planning,Other optimisation,Level 3,Level 3,Positive,Car route planning,Self-Driving Cars,Statistical modeling,,"Partial (code link, but broken URL)",Yes,Google Maps and Theoretical shortest path,Google Maps and Theoretical shortest path,Yes,Yes,Yes,0,Private,Private,N,Yes,N/A,N/A,N,N,N/A,N/A
2019,ICAC_Schmitt,Can hardware performance counters be used to accurately model per-function power consumption?,Real-world experiments,Real-world experiment,Energy profiling,Energy efficiency,N/A,N/A,Positive (mostly),Web serving,Data centres,PMCs,,"Partial (no specific code, but uses TeaStore)",Yes,None,None,Yes,N/A,N/A,0,TeaStore,Public,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2019,ICAC_Trotter,Can genetic algorithms locate more optimal configurations of Apache Storm?,Real-world experiments,Real-world experiment,Apache Storm optimisation,Performance,Level 3,Level 3,Positive,Cluster scheduling,Data centres,Genetic algorithms,,No (no code),No,Rules of thumb,Rules of thumb,Yes,Yes,Yes,0,Private,Private,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2019,ICAC_Birke,Can client-side query size shaping enhance key/value store performance?,Real-world experiment,Real-world experiment,Memcached optimisation,Performance,Level 4,Level 4,Positive,Key/value stores,Data storage,,,No (no code),No,Standard memcached,Standard memcached,Yes,Yes,Yes,0,Private,Private,N,Yes,Request size,Parametric,N,N,Protocol,Policy
2019,ICAC_Li,Can transient cloud servers offer distributed deep learning speedup at lower costs?,Real-world experiments,Real-world experiment,Distributed deep learning frameworks,Performance,Level 4,Level 4,Positive,Deep learning methodology,Data centres,,,Yes (standard code and benchmarks),Yes,,,Yes,Yes,Yes,0,Public,Public,N,Yes,Cloud scaling,Structural,Y,N,Protocol,Policy
2019,ICAC_Jayaram,Can generic mixtures of CPU/GPU code improve performance in unmodified Apache Spark systems?,Real-world experiments,Real-world experiment,Optimising Spark,Performance,Level 4,Level 4,Positive,Deep learning methodology,Data centres,,,"Almost (standard code and benchmarks, but exact JCUDA translate unclear)",Yes,Standard baseline,Standard baseline,Yes,Yes,Yes,0,Public,Public,N,Yes,Cloud scaling,Structural,N,N,Protocol,Policy
2019,ICAC_Larsson,Can quality-elasticity improve overall profitability of commerce websites?,Simulation,Simulation,Variable (adaptive) quality to maximise scalability,Other optimisation,Level 4,Level 4,Positive (mostly),Ecommerce system,Data centres,,,Yes (code available),Yes,Previous research,Previous research,No,No,No,0,Public,Public,N,Yes,Quality of experience,Parametric,N,N,Protocol,Policy
2019,ICAC_Ramprasad,Can a reusable IoT experiment lab improve the pace of research progress?,New platform,N/A,Research / experimentation platform,Research tool,N/A,N/A,N/A,Research tools,Research tools,,,N/A,N/A,None,None,Yes,No,No,0,N/A,N/A,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2019,ICAC_Langford,Can generated environments be used to detect and correct erroneous behaviours in deep learning models?,Simulation,Simulation,Image classification DNNs,Learning quality,N/A,N/A,Positive,Image classification,Computer vision,,,"Partial (method and dataset, but no model / code)",No,Baseline DNN,Baseline DNN,No,No,No,0,Public,Public,N,Yes,N/A,N/A,Y,N,N/A,N/A
2019,ICAC_Shiele,Can a platform for IoT hardware experimentation ease research into adaptive hardware acceleration?,New platform,N/A,Research / experimentation platform,Research tool,N/A,N/A,N/A,Research tools,Research tools,,,N/A,N/A,None,None,Yes,No,No,0,N/A,N/A,N,Yes,N/A,N/A,N,N,N/A,N/A
2019,ICAC_Huang,Can disk failure be predicted from SMART disk metrics?,Real-world analysis,Real-world experiment,Failure prediction,Fault tolerance,N/A,N/A,Positive (mostly),Failure prediction for disks,Data storage,,,"Partial (private data set, and one public one, but no code)",No,None,None,Yes,No,No,0,Private and public,Mixed,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2019,ICAC_Tantawi,Can adaptive bin-packing improve cloud services?,Simulation,Simulation,Scheduling,Performance,Level 4,Level 4,Positive (mostly),Cloud provisioning,Data centres,Statistical modeling,,Partial (no code),No,Various algorithms,Various algorithms,No,No,No,0,Synthetic / private,Synthetic,N,Yes,Scheduling policy,Structural,N,N,Statistical optimisation / online,Policy
2019,ICAC_Boubin,Can autonomic computing reduce the costs of automated agriculture?,Simulation,Simulation,Flight path & compute optimisation,Other optimisation,Level 4,Level 4,Neutral,Agriculture,Other,,,"Partial (code online, dataset private)",Yes,None,None,No,No,No,0,Private,Private,N,Yes,Flight paths for UAVs,Structural,N,N,Reinforcement learning,Learning
2019,ICAC_Arellanes,Can the DX-MAN service model be extended to capture variability?,Theoretical case study,Theoretical analysis,Smart homes,Modelling,Level 3/4,Level 3 / 4,N/A,Smart homes,Internet of Things,Workflow composition,,No (no code),No,None,None,No,No,No,0,N/A,N/A,N,Yes,Behaviour,Structural,N,Y,Genetic algorithm,Learning
2019,ICAC_Mirhosseini,Can tail latency be reduced with an express lane?,Simulation,Simulation,Cloud scaling,Performance,Level 4?,Level 4,Positive,Cloud scheduling,Data centres,,,No (no code),No,Existing schedulers,Existing schedulers,No,No,No,0,Synthetic,Synthetic,N,Yes,Scheduling policy,Structural,N,N,Protocol,Policy
2019,ICAC_Chhetri,Can learning-based self-improvement offer anti-fragility for cyber defence systems?,Theoretical analysis,Theoretical analysis,Cyber defense,Security,Level 4,Level 4,N/A,Cyber security in military contexts,Cyber-security,,,N/A,N/A,None,None,No,No,No,0,N/A,N/A,N,Yes,Behaviour,N/A,N,N/A,N/A,N/A
2019,ICAC_Horn,Can a multi-dimensional optimisation problem have the composition and weights of its combined utility function automated?,Theoretical analysis,Theoretical analysis,Multi-objective optimisation,Alt,Level 4,Level 4,Neutral,Secure storage system,Data storage,,,Yes (method described),Yes,None,None,Partial,No,No,0,Theoretical,N/A,N,Yes,Cloud scaling,Structural,Y,N,Pareto front,Learning
2019,SEAMS_Chen,What are the properties of retraining versus incremental updates for machine learning optimisation?,Real-world experiments,Real-world experiment,Various,Learning quality,Level 4,Level 4,Neutral,Various,General SAS,,,Partial (no specific code),No,ML approaches,ML approaches,Yes,Yes,Yes,0,Synthetic / private,Synthetic,N,Yes,Various,N/A,Y,N,Machine learning,Learning
2019,SEAMS_Langford,Can evolutionary algorithms with novelty search improve action selection in learning-based optimisation for unknown environments?,Simulation,Simulation,Self-driving car,Learning quality,Level 4,Level 4,Positive,Self-driving car,Self-Driving Cars,,,No (no code),No,Default configuration of throttle controller,Default configuration of throttle controller,No,No,No,0,Private,Private,N,Yes,Parametric,Parametric,Y,N,Machine learning,Learning
2019,SEAMS_Liaskos,"Can a blockchain be analysed as an adaptable control system, with tunable elements to optimise at runtime?",Simulation,Simulation,Blockchain,Performance,Level 4,Level 4,Positive (mostly),Blockchain,Other,,,No (no code),No,None,None,No,No,No,0,Private,Private,N,Yes,Parametric,Parametric,N,N,N/A,N/A
2019,SEAMS_Moreno,Can a simulation platform improve research capability in the field of self-adaptive cyber-physical systems?,New platform,N/A,Research / experimentation platform,Research tool,N/A,N/A,N/A,Research tools,Research tools,,,N/A,N/A,None,None,Yes,No,No,0,N/A,N/A,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2019,SEAMS_Provoost,Can a new exemplar case study enhance research in self-adaptive systems?,New exemplar,N/A,IoT (various),Research tool,N/A,N/A,N/A,Research tools,Research tools,,,N/A,N/A,None,None,Yes,No,No,0,N/A,N/A,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2019,SEAMS_Maia,Can a simulation platform improve research capability in the field of self-adaptive drone systems?,New platform,N/A,Research / experimentation platform,Research tool,N/A,N/A,N/A,Research tools,Research tools,,,N/A,N/A,None,None,Yes,No,No,0,N/A,N/A,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2019,SEAMS_Quin,Can machine learning approaches reduce the apparent search space size for self-adaptive systems?,Simulation,Simulation,Reduced learning search time,MAPE-K optimisation,Level 4,Level 4,Positive,IoT,Internet of Things,,,Yes (code),Yes,No-learning baseline,No-learning baseline,No,No,No,0,Public,Public,N,Yes,Feature / action space narrowing for self-adaptive systems,Meta,N,N,Machine learning,Learning
2019,SEAMS_Tsigkanos,Can trajectories in an IoT system be abstracted as an accessibility graph for use by self-adaptive systems?,Theoretical analysis,Theoretical analysis,Abstraction for simpler reasoning,Modelling,N/A,N/A,Positive,IoT (city vehicular traffic analysis),Internet of Things,,,"Almost (algorithms given and working, but no code)",If reimplemented,None,None,No,No,No,0,N/A,N/A,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2019,SEAMS_Bennaceur,What are the research challenges of engineering and analysing CPS?,Anectodal analysis,Theoretical analysis,Research theme mapping,Research tool,N/A,N/A,N/A,Cyber physical systems in general,Research tools,,,N/A,N/A,None,None,No,No,No,0,N/A,N/A,N,N/A,N/A,N/A,N,N/A,N/A,N/A
2019,SEAMS_Jamshidi,Can machine learning combined with planning improve adaptation quality in autonomous robotics?,Simulation,Simulation,Adaptation decision quality,Learning quality,Level 4,Level 4,Positive (mostly),Robotic systems in general,Robotics,,,No (no code),No,Various theoretical baselines,Various theoretical baselines,No,No,No,0,Private,Private,N,Yes,Action space narrowing,Meta,Y,N,Machine learning,Learning
2019,SEAMS_ElSaid,Is adaptability a core property of intelligent systems?,Anectodal analysis,Theoretical analysis,Philosophy of intelligence,Alt,N/A,N/A,Neutral,General autonomous systems,General SAS,,,No (anecdotal),No,None,None,No,No,No,0,N/A,N/A,N,N/A,N/A,N/A,Y,N/A,N/A,N/A
2019,SEAMS_Erbel,Can OCCI be extended with real-time monitoring to create a full autonomic control loop?,Case study story,Theoretical analysis,Abstraction for autonomic reasoning,Research tool,N/A,N/A,Positive,Cloud computing,Data centres,,,No (methodology unclear),No,None,None,Yes,No,No,0,N/A,N/A,N,Yes,Various (platform),Structural,N,N/A,N/A,N/A
2019,SEAMS_Angelo,What are the machine learning dimensions and challenges in collective self-adaptive systems?,Systematic review,Systematic review,General adaptive systems,Distributed coordination,N/A,N/A,Neutral,General autonomous systems,General SAS,,,Yes (method described),Yes,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N,N/A,N/A,N/A,Y,N/A,Machine learning,Learning
2019,SEAMS_Mertz,Can adaptive monitoring reduce overhead without compromising on decision quality?,Real-world experiment,Real-world experiment,Monitoring efficiency,MAPE-K optimisation,Level 4,Level 4,Positive,General autonomous systems,General SAS,,,Partial (no specific code),No,Previous research,Previous research,Yes,Yes,Yes,0,Private,Private,N,Yes,Monitoring granularity,Meta,N,N,DSL / policy,Policy
2019,SEAMS_Grua,What is the current state of the art for self-adaptive research in mobile applications?,Systematic review,Systematic review,General adaptive systems,Research tool,N/A,N/A,Neutral,General autonomous systems,General SAS,,,Yes (code and methodology),Yes,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N,N/A,N/A,N/A,Y,N/A,N/A,N/A
2019,SEAMS_Solano,Can a goal-oriented model tame uncertainty and offer assurances in self-adaptive systems?,Real-world experiment,Real-world experiment,Reduced uncertainty,Modelling,Level 4,Level 4,Positive,Body area networks,Internet of Things,,,Yes (code),Yes,Simulated baselines,Simulated baselines,Yes,No,No,0,Public,Public,N,Yes,Behaviour,N/A,N,N,Markov decision process,Learning
2019,SEAMS_Lemos,Can a self-adaptive machine learning system interpret and explain its data model?,Anectodal analysis,Theoretical analysis,Explainable ML,Alt,Level 4,Level 4,Neutral,Machine learning theory,General SAS,,,No,No,None,None,No,No,No,0,N/A,N/A,N,Yes,Machine learning model,Meta,Y,N,N/A,N/A
2019,SEAMS_Gerostathopoulos,Can a simulated experimentation platform enhance research in self-adaptive traffic management?,New platform,N/A,Decentralised multi-agent adaptation,Research tool,Level 4,Level 4,N/A,Research tools,Research tools,,,Yes (code),Yes,None,None,No,No,No,0,N/A,N/A,N,No,Behaviour,Parametric,N,N,Planning,N/A
2019,SEAMS_Khakpour,Can the security of adaptive systems be formally analysed and assured?,Theoretical analysis of case study systems,Theoretical analysis,Security in self-adaptive systems,Security,N/A,N/A,Positive,General autonomous systems,General SAS,,,"Partial (no code, limited methodological reproducibility)",No,None,None,Yes,No,No,0,N/A,N/A,N,Yes,N/A,N/A,N,N/A,N/A,N/A
2019,SEAMS_Devries,Can a partial feature interaction concept support a reduced feature interaction space for faster analysis?,Theoretical analysis of a case study,Theoretical analysis,Feature interaction reduction,MAPE-K optimisation,N/A,N/A,Positive,Cruise control,Self-Driving Cars,,,"Mostly (method well described, example reproducible in theory)",If reimplemented,None,None,No,No,No,0,N/A,N/A,N,Yes,Parametric,Parametric,N,N,N/A,N/A
2019,SEAMS_Paterson,Can continuous planning be improved by automated analysis of unstructured data?,Simulation,Simulation,Automated planning,Modelling,Level 4,Level 4,Positive,Disaster planning,Other,NLP,Stochastic model synthesis,No (no code),No,None,None,No,No,No,0,N/A,N/A,N,Yes,Workflow,Parametric,N,Y,N/A,N/A
2019,SEAMS_Bennaceur_B,Can requirements be adapted dynamically based on available resources?,Simulation (high level) and user survey,Simulation,Requirements adaptation,Modelling,Level 4,Level 4,Positive,Meal planning / food waste,Other,,,Yes (code),Yes,None,None,Yes,No,No,0,Semi-public (unclear how it's generated),Mixed,N,Yes,Requirements,Meta,N,N,Protocol,Policy
2019,SEAMS_Jones,Can denial of service attacks in n-variant systems be mitigated with an immune-system signature generation technique?,Real-world implementation,Real-world experiment,Denial of service reduction,Security,Level 4,Level 4,Positive (mostly),Cyber security / denial of service,Cyber-security,,,No (no code),No,None,None,Yes,No,No,0,Public (described in paper),Public,N,Yes,N/A,N/A,N,N,Protocol,Policy
2018,SASO_Berrevoets,How the settings of a mobile end node impact key performance indicators for reliability and energy consumption when communicating with LoRa in IoT systems?,Real application,Real-world experiment,Adaptive Algorithm for IoT communication,Performance,Level 3,Level 3,Positive,IoT / mobile nodes,Internet of Things,,,Particial (no code - only high level algorithms provided),No,Primitive baseline (conservative setting),Primitive baseline (conservative setting),Yes,Yes,Yes,3,N /A,N/A,No,Yes,Parametric,Parametric,Y,N,Manual analysis (no offline/online learning - based on experiments),Policy
2018,SASO_Ceriotti,Is it feasible to create a dynamically adjustable schedule-based protocol to support QoS in low-power wireless communication?,Simulation + testbeds,Simulation,Adaptive Algorithm for low-power wireless links,Energy efficiency,Level 3,Level 3,Positive,IoT (not one case study in particular),Internet of Things,,,No (no code),No,Idealised schemes,Idealised schemes,Yes,No,No,2,N/A,N/A,No,Yes,Parametric,Parametric,N,N,Protocol,Policy
2018,SASO_Esterle,"Can multiple, different teams outperform single, homogeneous teams in terms of achieved k-coverage and the number of detected tasks?",Simulation,Simulation,Team affiliation in autonomous robots,Distributed coordination,Level 3 or 4,Level 3 / 4,Positive,Robotics / team formation,Robotics,goal-aware formation,machine learning technique,No (no code),No,Primitive baseline (static affiliation scheme),Primitive baseline (static affiliation scheme),No,No,No,1,N/A,N/A,No,Yes,Behavioural,Meta,Y,N,Goal-aware and Machine learning,Learning
2018,SASO_Feldman,Can a small portion of nomadic agents that widely traverse belief space can disrupt a larger population of stampeding agents?,Simulation (data generation + data analysis),Simulation,Agent-based simulations as a way to model human actions in belief space,Distributed coordination,N/A,N/A,Neutral,Human actions in belief space,Multi-agent,,,"No (no data set, no code, no simulator)",No,No comparison,No comparison,No,No,No,2,Private,Private,No,No,N/A,N/A,N,N,N/A,N/A
2018,SASO_Hanke,How to support a self-organising mechanism for re-allocating capabilities to robots?,Real application (testbed and real robots),Real-world experiment,Resource allocation considering reconfigurable robots,Other optimisation,Level 3 or 4,Level 3 / 4,Positive,Robotics (Assisting firefighters in chemical accidents),Robotics,centralised approach,distributed approach,"No (no code, no testbed)",No,"Three approaches (centralised, distributed, mixed)","Three approaches (centralised, distributed, mixed)",Yes,No,No,4,N/A,N/A,No,Yes,Behavioural,Structural,Y,N,Constraint Satisfaction Optimisation Problem (CSOP),Policy
2018,SASO_Hu,"Under the scenarios where there are conflicts between the social value and individual interest, how should agents make decisions?",Simulation,Simulation,Social value determining agent behaviour,Distributed coordination,N/A,N/A,Neutral,Multi-agents,Multi-agent,,,"No (no code, no simulator)",No,"Three approaches (Homogeneous societies, heterogeneous sociaties, dynamic societies)","Three approaches (Homogeneous societies, heterogeneous sociaties, dynamic societies)",No,No,No,1,N/A,N/A,No,No,N/A,N/A,Y,N,Social values and individual interests,MAS
2018,SASO_King,Can local neighbourhood entropy be used to determine metrics for evaluating macro-level order of a system?,Simulation,Simulation,Determining macro-level order of complex adaptive systems,Distributed coordination,N/A,N/A,Positive,Complex Adaptive Systems (particularly autonomous swarm and Conway's game of life),Robotics,,,No (no code),No,Multiple scenarios and two different application domains (UAV swarm and Game of Life),Multiple scenarios and two different application domains (UAV swarm and Game of Life),No,No,No,3,N/A,N/A,No,No,N/A,N/A,N,N,N/A,N/A
2018,SASO_Kurka,Can collective disobidience be used as a transformative mechanism for rule- or ruler-change in norm-governed multi-agent systems?,Simulation,Simulation,Disobidience in norm-goverened multi-agente systems,Distributed coordination,N/A,N/A,Positive,Multi-agents systems / resource utilisation,Multi-agent,,,No (no code),No,Baseline behaviour (not implementing the extended premises),Baseline behaviour (not implementing the extended premises),No,No,No,3,N/A,N/A,Yes,No,N/A,N/A,Y,N,N/A,N/A
2018,SASO_Liu,How to build a self-organizing heuristic for implicitly sharing context using neighbour discovery beacons?,Simulation,Simulation,Local and collaborative context sensing,Distributed coordination,Levrel 3 or 4,Level 3 / 4,Positive,Smart cities,Internet of Things,,,No (no code),No,Benchmarked greedy and randomised algorithms,Benchmarked greedy and randomised algorithms,No,No,No,8,N/A,N/A,No,Yes,N/A (changes the type of information shared),N/A,N,N,Heuristics,Policy
2018,SASO_Mera-GÃ³mez,How to build elasticity management that promotes dynamic agent coalitions for resource sharing in multi-tenant cloud environments?,Simulation,Simulation,Elasticity Management in Multi-tenant SaaS,Performance,Level 3,Level 3,Positive,Cloud Computing (Multi-tenant SaaS),Data centres,,,Yes (link to repository -- didn't work for me though),Yes,Show how the approach behaves in different scenarios,Show how the approach behaves in different scenarios,No,No,No,2,Public (workloads),Public,No,Yes,Parametric,Parametric,N,N,Multi-agent Reinforcement learning,Learning
2018,SASO_Pitt,How does automation of basic democracy can be used as a framework for the self-organisation of collective governance in open systems? What are the consequences?,Simulation,Simulation,Basic democracy as the base to create self-organising open systems,Distributed coordination,N/A,N/A,Positive,Socio-technical systems,Other,,,Yes (code is provided),Yes,No comparison just analysis of different scenarios,No comparison just analysis of different scenarios,Yes,No,No,4,N/A,N/A,No,No,N/A,N/A,Y,N,Social values - basic democracy,N/A
2018,SASO_Podolskiy,How do different forecasting models perform to predict changes in cloud-based application workloads.?,Forecasting analysis on real workloads,Real-world experiment,Forecasting models of cloud-based applicaitons,Learning quality,Level 3,Level 3,Neutral,Cloud-based applications,Data centres,,,Yes (code and data provided),Yes,Different forecasting models,Different forecasting models,No,No,No,7,Public (workloads - upon request),Mixed,No,Yes,N/A,N/A,N,N,"Forecasting models (ARIMA, exponential smoothing, SSA, SVR, linear regression)",Learning
